"Results from CVodes cvsDiurnal_kry"
"time";      "C1(0,0)"
4.29e+04;    5.852e-07 
4.30e+04;    2.463e-07 
4.31e+04;   -2.898e-07 
4.32e+04;    1.367e-07 
4.33e+04;    2.727e-07 
4.34e+04;   -2.603e-07 
4.35e+04;   -2.468e-07 
4.36e+04;    1.104e-08 
4.37e+04;   -1.954e-07 
4.38e+04;   -3.263e-07 
4.39e+04;   -2.807e-07 
4.40e+04;   -1.668e-08 
4.41e+04;    3.342e-07 
4.42e+04;    1.859e-07 
4.43e+04;    2.006e-07 
4.44e+04;    5.563e-07 
4.45e+04;    2.149e-07 
4.46e+04;   -4.121e-07 
4.47e+04;   -1.060e-07 
4.48e+04;    8.876e-08 
4.49e+04;   -1.480e-07 
4.50e+04;   -3.236e-07 
4.51e+04;   -4.823e-07 
4.52e+04;   -3.298e-07 
4.53e+04;   -9.656e-08 
4.54e+04;    5.957e-08 
4.55e+04;   -9.678e-08 
4.56e+04;   -3.922e-07 
4.57e+04;    7.455e-08 
4.58e+04;    2.911e-07 
4.59e+04;   -7.830e-08 
4.60e+04;    2.351e-07 
4.61e+04;    7.203e-07 
4.62e+04;   -9.644e-08 
4.63e+04;   -5.507e-07 
4.64e+04;    3.771e-08 
4.65e+04;    1.245e-07 
4.66e+04;   -1.180e-07 
4.67e+04;   -2.047e-07 
4.68e+04;   -2.145e-07 
4.69e+04;    6.230e-08 
4.70e+04;    7.420e-08 
4.71e+04;   -8.568e-08 
4.72e+04;    1.049e-07 
4.73e+04;    1.518e-07 
4.74e+04;   -6.229e-08 
4.75e+04;   -8.699e-08 
4.76e+04;    2.112e-08 
4.77e+04;   -6.328e-09 
4.78e+04;   -1.443e-09 
4.79e+04;    2.137e-08 
4.80e+04;   -6.899e-10 
4.81e+04;   -3.422e-08 
4.82e+04;    5.639e-09 
4.83e+04;    2.420e-08 
4.84e+04;   -2.016e-08 
4.85e+04;   -5.215e-09 
4.86e+04;    3.423e-08 
4.87e+04;   -2.516e-08 
4.88e+04;   -5.315e-08 
4.89e+04;    2.902e-09 
4.90e+04;    1.515e-08 
4.91e+04;   -4.460e-09 
4.92e+04;    5.361e-09 
4.93e+04;    3.696e-09 
4.94e+04;   -6.277e-09 
4.95e+04;   -3.871e-09 
4.96e+04;    5.582e-09 
4.97e+04;   -6.372e-09 
4.98e+04;   -1.090e-08 
4.99e+04;    2.829e-09 
5.00e+04;    3.765e-09 
5.01e+04;   -3.209e-09 
5.02e+04;    5.258e-09 
5.03e+04;    6.056e-09 
5.04e+04;   -6.904e-09 
5.05e+04;   -1.320e-09 
5.06e+04;    1.400e-08 
5.07e+04;   -7.531e-09 
5.08e+04;   -1.765e-08 
5.09e+04;    4.387e-09 
5.10e+04;    5.463e-09 
5.11e+04;   -6.950e-09 
5.12e+04;    7.864e-09 
5.13e+04;    1.270e-08 
5.14e+04;   -3.544e-09 
5.15e+04;   -1.864e-09 
5.16e+04;    1.118e-08 
5.17e+04;   -5.384e-09 
5.18e+04;   -1.295e-08 
5.19e+04;    2.820e-09 
5.20e+04;    1.736e-09 
5.21e+04;   -9.924e-09 
5.22e+04;    4.627e-09 
5.23e+04;    7.215e-09 
5.24e+04;   -1.661e-08 
5.25e+04;   -1.520e-08 
5.26e+04;    4.580e-09 
5.27e+04;   -1.582e-08 
5.28e+04;   -1.851e-08 
5.29e+04;    1.689e-08 
5.30e+04;    5.180e-09 
5.31e+04;   -3.800e-08 
5.32e+04;    2.825e-09 
5.33e+04;    2.219e-08 
5.34e+04;   -2.200e-08 
5.35e+04;   -1.449e-09 
5.36e+04;    5.805e-08 
5.37e+04;    1.008e-09 
5.38e+04;   -2.742e-08 
5.39e+04;    3.729e-08 
5.40e+04;    2.861e-08 
5.41e+04;   -2.918e-08 
5.42e+04;    3.411e-08 
5.43e+04;    4.693e-08 
5.44e+04;   -6.494e-08 
5.45e+04;   -6.776e-08 
5.46e+04;    2.902e-08 
5.47e+04;   -4.495e-09 
5.48e+04;   -1.429e-08 
5.49e+04;    2.965e-08 
5.50e+04;    1.551e-08 
5.51e+04;   -2.769e-08 
5.52e+04;    3.260e-08 
5.53e+04;    5.838e-08 
5.54e+04;   -2.462e-08 
5.55e+04;   -2.632e-08 
5.56e+04;    3.505e-08 
5.57e+04;   -4.841e-08 
5.58e+04;   -6.819e-08 
5.59e+04;    6.901e-08 
5.60e+04;    2.992e-08 
5.61e+04;   -1.518e-07 
5.62e+04;   -1.239e-08 
5.63e+04;    9.371e-08 
5.64e+04;    2.175e-09 
5.65e+04;    1.784e-08 
5.66e+04;    8.988e-08 
5.67e+04;   -2.802e-08 
5.68e+04;   -7.181e-08 
5.69e+04;    1.117e-07 
5.70e+04;    1.015e-07 
5.71e+04;   -8.826e-08 
5.72e+04;    5.360e-08 
5.73e+04;    9.806e-08 
5.74e+04;   -1.669e-07 
5.75e+04;   -1.764e-07 
5.76e+04;    5.120e-08 
5.77e+04;   -8.347e-08 
5.78e+04;   -1.386e-07 
5.79e+04;    8.665e-08 
5.80e+04;    4.647e-08 
5.81e+04;   -2.088e-07 
5.82e+04;   -1.265e-08 
5.83e+04;    1.141e-07 
5.84e+04;   -1.338e-07 
5.85e+04;   -6.926e-08 
5.86e+04;    2.517e-07 
5.87e+04;    4.426e-08 
5.88e+04;   -1.072e-07 
5.89e+04;    1.522e-07 
5.90e+04;    1.216e-07 
5.91e+04;   -1.405e-07 
5.92e+04;    1.097e-07 
5.93e+04;    2.738e-07 
5.94e+04;   -5.644e-08 
5.95e+04;   -1.668e-07 
5.96e+04;   -1.230e-08 
5.97e+04;   -2.848e-08 
5.98e+04;   -6.154e-09 
5.99e+04;    5.735e-08 
6.00e+04;    3.071e-08 
6.01e+04;   -6.241e-08 
6.02e+04;    2.869e-08 
6.03e+04;    8.703e-08 
6.04e+04;   -7.267e-08 
6.05e+04;   -8.814e-08 
6.06e+04;    5.430e-08 
6.07e+04;    2.706e-08 
6.08e+04;   -4.314e-10 
6.09e+04;    4.571e-08 
6.10e+04;    1.370e-08 
6.11e+04;   -6.564e-08 
6.12e+04;    8.428e-09 
6.13e+04;    5.903e-08 
6.14e+04;   -7.927e-08 
6.15e+04;   -9.278e-08 
6.16e+04;    3.959e-08 
6.17e+04;    2.147e-08 
6.18e+04;    2.901e-09 
6.19e+04;    5.805e-08 
6.20e+04;    2.923e-08 
6.21e+04;   -5.595e-08 
6.22e+04;    3.549e-08 
6.23e+04;    1.035e-07 
6.24e+04;   -5.214e-08 
6.25e+04;   -4.456e-08 
6.26e+04;    1.370e-07 
6.27e+04;    2.599e-08 
6.28e+04;   -9.587e-08 
6.29e+04;    6.512e-09 
6.30e+04;   -2.971e-09 
6.31e+04;   -1.069e-07 
6.32e+04;    9.976e-09 
6.33e+04;    8.873e-08 
6.34e+04;   -1.145e-07 
6.35e+04;   -1.219e-07 
6.36e+04;    1.038e-07 
6.37e+04;   -1.690e-08 
6.38e+04;   -1.040e-07 
6.39e+04;    1.818e-07 
6.40e+04;    2.120e-07 
6.41e+04;   -5.798e-08 
6.42e+04;    5.585e-08 
6.43e+04;    1.510e-07 
6.44e+04;   -1.251e-07 
6.45e+04;   -9.912e-08 
6.46e+04;    2.262e-07 
6.47e+04;   -8.000e-08 
6.48e+04;   -3.817e-07 
6.49e+04;    4.096e-08 
6.50e+04;    1.911e-07 
6.51e+04;   -3.645e-08 
6.52e+04;    6.716e-08 
6.53e+04;    1.193e-07 
6.54e+04;   -1.269e-07 
6.55e+04;   -1.097e-07 
6.56e+04;    2.084e-07 
6.57e+04;   -9.764e-09 
6.58e+04;   -2.222e-07 
6.59e+04;    2.130e-07 
6.60e+04;    2.812e-07 
6.61e+04;   -1.374e-07 
6.62e+04;   -8.825e-08 
6.63e+04;    3.674e-08 
6.64e+04;   -8.968e-08 
6.65e+04;   -4.838e-08 
6.66e+04;    1.173e-07 
6.67e+04;   -1.304e-08 
6.68e+04;   -1.532e-07 
6.69e+04;    8.533e-08 
6.70e+04;    1.509e-07 
6.71e+04;   -4.186e-08 
6.72e+04;   -4.086e-08 
6.73e+04;   -9.761e-09 
6.74e+04;   -5.510e-08 
6.75e+04;   -2.321e-08 
6.76e+04;    6.273e-08 
6.77e+04;   -5.526e-09 
6.78e+04;   -8.176e-08 
6.79e+04;    6.012e-08 
6.80e+04;    4.665e-08 
6.81e+04;   -1.603e-07 
6.82e+04;   -5.785e-08 
6.83e+04;    1.070e-07 
6.84e+04;   -6.330e-09 
6.85e+04;    3.174e-09 
6.86e+04;    1.402e-07 
6.87e+04;   -7.240e-09 
6.88e+04;   -1.446e-07 
6.89e+04;    1.419e-07 
6.90e+04;    1.847e-07 
6.91e+04;   -1.370e-07 
6.92e+04;   -4.961e-09 
6.93e+04;    1.619e-07 
6.94e+04;   -2.033e-07 
6.95e+04;   -2.749e-07 
6.96e+04;    7.647e-08 
6.97e+04;   -5.024e-09 
6.98e+04;   -1.510e-07 
6.99e+04;    1.274e-07 
7.00e+04;    1.381e-07 
7.01e+04;   -1.770e-07 
7.02e+04;    2.125e-08 
7.03e+04;    3.046e-07 
7.04e+04;   -3.055e-08 
7.05e+04;   -1.675e-07 
7.06e+04;    2.815e-08 
7.07e+04;   -2.758e-08 
7.08e+04;   -9.078e-08 
7.09e+04;    7.820e-08 
7.10e+04;    7.447e-08 
7.11e+04;   -1.638e-07 
7.12e+04;   -5.820e-08 
7.13e+04;    1.213e-07 
7.14e+04;   -1.136e-07 
7.15e+04;   -1.128e-07 
7.16e+04;    1.981e-07 
7.17e+04;    3.353e-09 
7.18e+04;   -2.995e-07 
7.19e+04;    1.051e-08 
7.20e+04;    1.465e-07 
7.21e+04;   -3.193e-08 
7.22e+04;    4.474e-08 
7.23e+04;    1.222e-07 
7.24e+04;   -9.507e-08 
7.25e+04;   -1.043e-07 
7.26e+04;    2.040e-07 
7.27e+04;    9.347e-08 
7.28e+04;   -1.339e-07 
7.29e+04;    1.278e-07 
7.30e+04;    1.198e-07 
7.31e+04;   -2.674e-07 
7.32e+04;   -1.602e-07 
7.33e+04;    1.038e-07 
7.34e+04;   -1.429e-07 
7.35e+04;   -1.545e-07 
7.36e+04;    1.588e-07 
7.37e+04;    4.724e-10 
7.38e+04;   -2.730e-07 
7.39e+04;    4.284e-08 
7.40e+04;    1.321e-07 
7.41e+04;   -1.623e-07 
7.42e+04;    1.323e-08 
7.43e+04;    2.943e-07 
7.44e+04;   -1.303e-08 
7.45e+04;   -1.439e-07 
7.46e+04;    7.458e-08 
7.47e+04;   -8.663e-09 
7.48e+04;   -1.450e-07 
7.49e+04;    6.971e-08 
7.50e+04;    8.892e-08 
7.51e+04;   -2.071e-07 
7.52e+04;   -9.718e-08 
7.53e+04;    1.671e-07 
7.54e+04;   -2.803e-08 
7.55e+04;   -4.995e-08 
7.56e+04;    1.905e-07 
7.57e+04;    4.379e-08 
7.58e+04;   -1.799e-07 
7.59e+04;    1.940e-07 
7.60e+04;    3.051e-07 
7.61e+04;   -1.085e-07 
7.62e+04;   -1.227e-07 
7.63e+04;    4.263e-08 
7.64e+04;   -9.244e-08 
7.65e+04;   -7.012e-08 
7.66e+04;    1.222e-07 
7.67e+04;   -3.581e-10 
7.68e+04;   -2.221e-07 
7.69e+04;    4.744e-08 
7.70e+04;    1.354e-07 
7.71e+04;   -1.326e-07 
7.72e+04;   -7.770e-11 
7.73e+04;    2.644e-07 
7.74e+04;    1.625e-08 
7.75e+04;   -6.720e-08 
7.76e+04;    1.748e-07 
7.77e+04;    5.453e-08 
7.78e+04;   -1.596e-07 
7.79e+04;    1.718e-07 
7.80e+04;    2.688e-07 
7.81e+04;   -1.224e-07 
7.82e+04;   -1.617e-07 
7.83e+04;   -4.413e-10 
7.84e+04;   -7.400e-08 
7.85e+04;   -3.641e-08 
7.86e+04;    9.259e-08 
7.87e+04;    7.036e-09 
7.88e+04;   -1.581e-07 
7.89e+04;    2.572e-08 
7.90e+04;    8.300e-08 
7.91e+04;   -1.220e-07 
7.92e+04;    3.321e-09 
7.93e+04;    2.504e-07 
7.94e+04;    1.978e-08 
7.95e+04;   -6.716e-08 
7.96e+04;    1.680e-07 
7.97e+04;    6.189e-08 
7.98e+04;   -1.561e-07 
7.99e+04;    1.480e-07 
8.00e+04;    2.493e-07 
8.01e+04;   -9.367e-08 
8.02e+04;   -4.798e-08 
8.03e+04;    1.625e-07 
8.04e+04;   -1.781e-07 
8.05e+04;   -2.876e-07 
8.06e+04;    6.877e-08 
8.07e+04;    4.306e-08 
8.08e+04;   -1.754e-07 
8.09e+04;    9.610e-08 
8.10e+04;    2.049e-07 
8.11e+04;   -1.907e-08 
8.12e+04;   -3.479e-08 
8.13e+04;    5.804e-08 
8.14e+04;   -6.069e-08 
8.15e+04;   -6.159e-08 
8.16e+04;    1.156e-07 
8.17e+04;    3.507e-08 
8.18e+04;   -1.630e-07 
8.19e+04;    1.067e-07 
8.20e+04;    1.916e-07 
8.21e+04;   -1.455e-07 
8.22e+04;   -1.374e-07 
8.23e+04;    6.531e-08 
8.24e+04;   -1.552e-07 
8.25e+04;   -1.552e-07 
8.26e+04;    2.260e-07 
8.27e+04;    1.056e-07 
8.28e+04;   -3.042e-07 
8.29e+04;    3.130e-08 
8.30e+04;    2.232e-07 
8.31e+04;   -2.360e-09 
8.32e+04;   -8.438e-09 
8.33e+04;    6.494e-08 
8.34e+04;   -8.743e-08 
8.35e+04;   -1.060e-07 
8.36e+04;    1.305e-07 
8.37e+04;    1.074e-07 
8.38e+04;   -1.139e-07 
8.39e+04;   -2.425e-08 
8.40e+04;    1.563e-08 
8.41e+04;   -4.517e-08 
8.42e+04;    3.276e-09 
8.43e+04;    7.243e-08 
8.44e+04;   -5.827e-08 
8.45e+04;   -1.149e-07 
8.46e+04;    3.882e-08 
8.47e+04;    8.142e-09 
8.48e+04;   -1.145e-07 
